wanted,Seeking ride to bay area (NE PDX),I'm looking for a ride down to the bay area. I hope to leave this Thursday morning   March 17th. I am an insured and licensed driver. I can contribute gas money and good conversation.
wanted,Need ride PDX to LA/SD 23/24/25 $ for Gas (Portland),Going back home to San Diego for my father's 60th b-day   had a ride back out on me   looking for a ride to San Diego or LA on the 24th. Have money for gas   green friendly   though I don't smoke. 24   male. Willing to even split gas money 50/50.
offered,Portland to Missoula March 23rd (Portland),Hi I am going to be in Oregon from the 17th to the 23rd of March.  I will be heading back to Missoula MT. from Portland early afternoon on Wednesday the 23rd if someone needs a ride that way.  I will be driving my small truck and can haul some stuff if need be.  I am posting this to get someone to help out with gas money.  Thanks and hope to hear back soon.
offered,Ride South on 1-5 Portland EUGENE CORVALLIS ASHLAND SACRAMENTO LA (PDX),Driving south on 1-5 from portland on friday  3/18  appreciate gas money can take two people and some bags... no wierdos please.. .very friendly people gimme a call please or if you have to email... 323-854-5574 thanks!! Nicky
wanted,ride request to south Bay Area 3/18ish (Santa Cruz),I'm a college student   want to go visit my parents in Santa Cruz over spring break. They're leaving town on the 23rd and my last day of finals is the 17th   so I'm trying to get there asap after that.     I'll probably have a pack and an instrument -- banjo or ukelele depending on space. I can play you sweet tunes while we ride if you like.    I have a valid CA driver's license and I can share driving duty   I also have ca$h to throw down on gas.    If you read this   whether or not you can help me out   I love you and I hope you're enjoying life to the fullest. Peace out and peace in      Max
offered,Ride offered to San Francisco Bay Area Wed 03/23 (N.W.),I have room for 1-2 people leaving wednesday evening [@ 8-9pm] and can leave you at a BART stop in Berkeley. Cost is $50 if 1 person and $35/ea   if 2 people.     John    C: 503-349-1289    Returning Sunday March 27th   leaving @ Noon   if interested.    If you e-mail it is very important for you to leave a telephone number where you can be reached.    Thanks
wanted,California (Northern),i need a ride to northern Cali for or on the weekend of the 18th-20th  i can help out with gas and i travel with a back pack  let me know if you want a rider  thanks  my cell 360 320 3145
offered,Driving from Portland to SF (leaving on tuesday),Heading to SF from Portland. If you need to go all the way in SF or a city in between let me know. Trying to leave Tuesday (tomorrow). No pets   pack light. I've got a clean comfortable ride to share gas with. Leave a contact number with your response.  Thanks    Balboa
wanted,bay area anarchist bookfair 4/6? (bay area),i want to be in the east bay by wed 4/6 dinnertime. want to bring a bicycle. dont drive. fantastic talker listener. train i slow and 83$ with bike will pay that as passanger    prefer calls to 503 572-6868 asap since im about to buy ticket  not returning till monday eve was planning to fly ....
offered,$10 Meadows Tuesday room for 2 (PDX),Heading to Meadows tomorrow.   No smoking   drugs   420.   $10 room for 2.   -Tony
offered,OFFER: Portland to Sacramento 3/20 (PDX/Beaverton),heading south on 3/20 looking for a few people to help split the gas.  Have two empty seats and would love to get them filled.  if you need a ride anywhere along I-5 we will gladly drop you off along our way!
wanted,Portland to Arcata (portland),Looking for a ride leaving Portland area to Arcata. I have gas money  and can meet you where ever you are   so if you have space heading south let me know!  Thanks    Brandy
wanted,need ride to northern Cali please!,Hi there! I'm looking for a ride to or around Willits   CA this weekend. Sunday March 20 is best for me but I'm flexible. If Willits is out of your way   I'm happy to be dropped off wherever is convenient for you...so if you're taking I-5 to Sanfran   I can just hitch another ride from there. I can of course split gas.    I'm very easy going and will bake some nice treats for the ride!    Please email me or call at 423.464.3359.  Thanks! Jed
wanted,I,have gas money and would like a ride to Meadows (NE Portland)   I am a 35 year old   wait 36 on the 20th   male who snowboards   is very non-judgmental   punctual   and has gas money.  I live in NE Cully area but can try and meet you wherever   my car was recently stolen but I will take bus with gear to meet you if it is not too difficult.  I am really mellow and will be respectful of your vehicle and whatever rules you have   basically whatever goes with me as long as you don't crash.  I can be talkative or quiet depends on my mood and the situation.  I just got a spring pass and I am on spring break from my work until March 27th! YAHOO!!!I am going with friends when they can go but I am very fortunate to have days off so I want to take advantage of the new snow while I can.  I am probably at an intermediate riding level   it is hard to judge ones self   but I could ride by myself or with you if you want.  I do not care either way   I just want to ride as much as physically possible for me  which is not saying much since I am gonna be 36   that is crazy!  So if your heading up to Meadows please give me a call   text   or e-mail   the day before at least would be best   but you never know I can be spontaneous at times. Hopefully there will be a day where we can meet up.  503 975 5239 Joey
wanted,Need Ride from PDX to Ashland 25th-27th (Portland to Ashland),My girlfriend and I are in need of a ride from Portland to Ashland sometime around the 26th. We need to be back the 27th at the latest   so if you're heading south around that time and need some money for gas we can totally help you out. We're down with anything   smoker friendly   we just need a ride. And we might have some stuff if you have space in your vehicle   so that would be a plus   but it's not a big deal if you don't. Call or text 503 756 1298 if interested
offered,Ride offer to norcal/socal early April,There will be one or two seats open in my car for you and another awesome person on a one way trip to the redwoods/big sur/ socal or anywhere between. I haven't picked a date but I Definitely want to arrive before the weekend of the 9th. Send an email if you want to join!   Cheers  stephanie and Liam
other,I can Haul it (anywhere ),Hi   My name is Jeff and I have the ability to tow whatever it is that you have   whether it's a trailer   rv   cars   trucks   or even just a load of pallets. I have a single car hauler   and a bigger flatbed that could haul a couple little cars or a full sized long wheel base truck. My 5th wheel flatbed will hold 14k lbs just fine. It has a 24' lower deck with a 7' upper. You call me and let me know what you need hauled and where and we will figure out a fair price. I'm set up to tow 5th wheel   gooseneck   or bumper pull.      Call Jeff @ 541-914-8062
offered,Need a ride? I go south daily! (Battle Ground to Medford Mon-Fri),I drive a route from Portland to Medford (and back) daily. I am on a time sensitive route and dont have time to venture far off the 5 for your pick up or drop off. I am willing to take a clean and drug free<b>(no smelly riders!!) </b>passenger or two down with me for <b>$50 each</b>.  I leave Portland every day<b>(mon-fri only)</b> around 1230pm if youre interested.    Please try to give a day's notice and have your pick up and drop off addresses ready when you call. Short notice is ok too   but I'd rather know a day early. And I will not pick you up if you don't call with a pickup address before 11am the day of.  <b>PLEASE SHOWER</b> and go potty before I pick you up.   <b><i>Prices for car rides are not negotiable. Please don't ask. And please have your money ready at the time of pick up.</b></i>   Call Doug @ 503-473-2321
offered,PTLD to Buffalo,Someone to share gas expenses and share expenses on rental of 10' rental truck if needed. Would like to leave the Month of June or July Please Call 503-839-4342    from ptldto buffalo
offered,Ride available to SEATTLE^^^ Today (Portland),Ride available to Seattle  today    ** Leaving NE Portland to Seattle Airport around 6.00pm    ** $25 for the ride    ** Spacious   Safe & Reliable      *** Call  :  503  253 -  1026 for more info.................
offered,"Ride to East Coast (PDX: COSt.Louis Tenn. anywhere in betw),<a href=""http://maps.google.com/maps/ms?doflg=ptm&ie=UTF8&msa=0&msid=218442433476863427620.00049e73de8141197377e&ll=40.34586%2C-102.344935&spn=38.500774%2C56.513672&z=4"" rel=""nofollow"">http://maps.google.com/maps/ms?doflg=ptm&ie=UTF8&msa=0&msid=218442433476863427620.00049e73de8141197377e&ll=40.34586%2C-102.344935&spn=38.500774%2C56.513672&z=4</a>    Hi This is the link to the route I think I am taking next weekend.  Leaving the 20 or 21st for Greenville   SC.  Looking for someone to share driving with me   and my dog   Bear.  It takes 48 hours of driving.  So at least one night in motel I think.  Share gas.  Non-smoker please.    call me at 503 550.8889  Alexis  "
offered,Offering a ride to Corvallis tonight and back (Portland),Hey there. 28/ M/ Gay.     Driving around 6:30pm from Portland to Corvallis for a quick visit. Just down and back. Probably will stay in the city for an hour   maybe two. Some possibility of staying with the boyfriend over night   but would need to leave by 6am to get back to Portland on time.    I got a nice clean reliable car. No pets. Prefer gay/gay-friendly. My personal hygiene is good   yours should be too. $15 or so for costs would be great.    Thanks
offered,ride offer to SF tuesday 7am (78th and Burnside to So SF),53 yo male....driving my 2007 Taurus to SF...I am staying south on Mission (almost daly City)..I have room for 3 people with minimal baggage....charging $45 a person to cover costs....please be gay friendly ....and no psychos please.I live near 78th and Burnside....departing early...7am....
offered,Ride offered: Portland/PDX to Seattle Tuesday 8pm,I'm driving a rideshare from Portland to Seattle Tuesday night at 8pm.  I drive rideshare almost everyday and I can pick you up at your place in Portland area and drop you off at your place in Seattle.  Better   safer and faster then the bus and train.  $20 per person   non smokers only.    Kevin  206-856-9837
offered,NE - Mt Hood Meadows room for 2 (Ainsworth &amp; MLK),Heading to Mt. Hood hoping that Heather opens Tuesday!  I'll start the drive up at 7AM and return at close...    May repeat Thursday - depending on conditions.  I have space for a couple people who are willing to share gas money.    Joe
offered,ride offer to Vancouver BC this Thursday 3/17,Offering a ride to Vancouver   BC or Bellingham or Seattle from Portland this Thursday   March 17.  Car gets 30 MPG   room for your gear and a bike   audio system with iPod connector   sharing in vegan snacks is welcome but not required.  My car is a safe   inclusive space   respectful of all gender   race   age   sexual preference   etc.  Help with gas and driving (manual transmission) would be appreciated but not required.  Please leave a voicemail and an e-mail (both   please) with a number to call you back at.  No texts.  714-912-8444
wanted,*Seeking ride to Eugene today (Mon.) or tomorrow (Tues.),Hello - Needing to go from SW downtown PDX to west Eugene.  Will pitch in for gas.  Email OK   but calling is better:  541/743-1779.  Joan
wanted,NEED RIDE: Portland to Olympia 3/16 evening (Downtown/Hawthorne ),Hey there! I'm looking for a ride from Portland to Olympia on Wednesday night after 7 pm. I can contribute to gas and I am friendly and easy to talk to. Please let me know if you have space for me! I will have very little luggage (1bag). Thanks! -Katie
offered,Portland to Bend 3/22 (NE Portland),I'm heading over the hill to Bend on Tuesday 3/22. I'll probably head over in the morning with my dog   so if you are allergic to dogs   this might not be your ride... Asking $15 for gas.
offered,Ride w/Us Goin 2 Seattle and back down the Coast 2 S. CA (Albany2Portland2Seattle dwn So.via PCH),Share a ride and cost up to seattle or down coast to southern ca  text me 702*788*7328
offered,Vancouver/Portland TO Kennewick Richland Pasco (KPR) Sunday 20th. (Vancouver WA),I'll be leaving Sunday the 20th. Time still up in the air   probably around 2-3pm.     Gas $ required of course.     No pets that shed   or large pets unless caged.     I can drop you off anywhere along the way as well.   E-mail me for details   I can pick you up on the way out of town   as long as it's not to far out of the way.
offered,Ride Offered: Central Mexico & Points South,Have room in motorhome headed south the weekend of March 19th! I-5 to Bakersfield   across the Mojave to Needles   to Quartzite   to Phoenix and directly south through Nogalis to centeral mexico. Room for one or two. Help with gas   driving not necessary. Non stop with one day layover in Phoenix. Think sun.
wanted,Ride needed! (Portland to Seattle),Hi I have found myself somewhat stranded in Portland at the moment and I need to find a ride back to Seattle. Any day this week will work   preferably Tuesday or Wednesday but anything is fine. Please let me know as soon as possible :)
wanted,Cool Dude full of LOVE seeking ride to BAY AREA 3/16,I love love and music and people and having a good time enjoying the ups and downs and all of it!  I'm a 21 year old guy who loves to jam and play music and basketball and have fun...I'm going down to see my family in the Bay and I will split gas and what not...call me any time 510-673-8203    I love you!  Jesse
wanted,NEED RIDE: Portland to Seattle Monday 3/14 (SE Hawthorne),Hello!  We are a cute fun couple looking for a ride to Seattle anytime (early or later) tomorrow Monday 3/14  Will help with driving and pitch in for gas!     Thanks!  Tyler and Akina
other,Beach anyone? (PDX),Fun 23 year old male here   with unamed party favors.  Wanting to enjoy the beach for awhile.    I can help with driving and gas.    Also willing to go in for a hotel.
offered,PDX&gt;Bay Area & Parts between Monday (NE PDX),I'll be driving down the 5 today and would love to take a few people to stops along the way to help with gas. I've got room for 3 and some luggage as well in a roomy wagon.    I'm headed to Fairfax   but will be happy to drop you at a BART station so you can get where you're going. Otherwise   I'm happy to drop (or pick up) riders along the way.    Hoping to be on the road by late morning.    I'll be up and checking emails regularly by 8; let me know what you need.
wanted,ride needed to Seattle Monday morning (SW Portland),Hello      I am needing a ride to Seattle   leaving any time on Monday   preferably as early as possible. I am a clean   friendly and conversational college student   and can pitch in $$$ for your gas and/or buy snacks. If you're headed that way and have space   please let me know ASAP!    Thanks!    -Phil  206 280 1615
offered,Ride offered: Portland to Tacoma Monday 8pm,I'm driving to Tacoma Monday night at 8pm.  $20 per seat   non smokers only    Kevin    206-856-9837
wanted,NEED RIDE NE PORTLAND TO GRANTS PASS,(ne portland ashland grants pass)   I am in need of a ride for myself with one suitcase from portland down to southern oregon into grants pass I would love to leave monday but can leave tuesday if I have too.  Please give me a call. Paul 612/559.3114 thanks
wanted,pdx to east idaho (idaho falls rexburg),Looking for a ride from Southeast Portland to Southeastern Idaho. Final destination is Rexburg/St. Anthony but would be fine with Pocatello or Idaho Falls. Have some gear so a truck might be my best transport. Will happily split gas costs. When I leave is flexible. Thanks.
offered,Ride Offered PDX to California Thurs 3/17(Sacramento LA Joshua Tree) (Portland ),I am driving from Portland to Joshua Tree (near Palm Springs   CA) on Thursday 3/17   leaving early morning and driving straight through.  Offering a ride anywhere along the way--Sacramento     I have a minivan   like a combination of music   conversation and quiet.  I am looking for a person to split the cost of gasoline for this trip.    I am in my twenties   a rock climber   outdoor educator   easy-going.     Please email if you are interested.   Thanks     Asher
wanted,looking for a ride to meadows tomorrow (se. portland to mt. hood meeadows),Hey I'm looking fo a ride to meadows tomorrow.. anyone headin up?  I live in se. Can help with gas etc... my number is 971-340-8731.                            Thanks!!                                      Jason
wanted,looking for ride to a Northern,CA Animal Collective show   For who anyone who may already be going and has some room   will chip in for effort and gas of course.     Thanks    Sean
offered,Ride to SF offered 3/15 (inner SE PDX),im driving down in my van   have room for a few peoples. Im 27    well educated   artistic   and am into various counter cultures of sorts   and  im easy to get along with... its a 10+ hr drive afterall   so im looking for people who will be nice to spend that amount of time with!  <p> id like to get 50-60 bucks for gas and such per person. i can pick you up probably and drop you off where you need to go (depends) ... going on the I-5. leaving around 9 or 10am. i can give your bike a ride too. <p> i will also be returning and could potentially have a ride back for ya too!  email or text only please   415-623-885l  ... and maybe tell me a brief snippet about yourself. that would be rad. thanks!
wanted,i need a ride to eugene,my name is katrina i am in south east portland and i need a ride to eugene tomorrow (monday 3.14) 773 680 9869 have gas money :) please let me know asap if you are driving down to eugene
